,barcode,letters,gene_name,global_X_pos,global_Y_pos
45,478614,CCMCT,mitotic figure,62001,15936
46,478615,CCMCT,mitotic figure,58413,15429
47,478616,CCMCT,mitotic figure,57667,16357
48,478617,CCMCT,mitotic figure,50629,15607
49,478618,CCMCT,mitotic figure,44558,16172
50,478619,CCMCT,mitotic figure,44693,15724
51,478620,CCMCT,mitotic figure,44820,15513
52,478621,CCMCT,mitotic figure,45299,16331
53,478622,CCMCT,mitotic figure,44093,15740
54,478623,CCMCT,mitotic figure,43228,15658
55,478624,CCMCT,mitotic figure,43285,16325
56,478625,CCMCT,mitotic figure,40327,16247
57,478626,CCMCT,mitotic figure,46179,14511
58,478627,CCMCT,mitotic figure,45885,14029
59,478628,CCMCT,tumor cell,49166,14320
60,478629,CCMCT,mitotic figure,49234,13930
61,478630,CCMCT,mitotic figure,49238,14523
62,478631,CCMCT,mitotic figure,51384,14811
63,478632,CCMCT,mitotic figure,51589,15117
64,478633,CCMCT,mitotic figure,36206,19584
65,478634,CCMCT,mitotic figure,37040,19753
66,478635,CCMCT,mitotic figure,37080,18506
67,478636,CCMCT,tumor cell,38393,19059
68,478637,CCMCT,mitotic figure,38543,19865
69,478638,CCMCT,mitotic figure,41997,19072
70,478639,CCMCT,mitotic figure,43513,18969
71,478640,CCMCT,mitotic figure,43124,19680
72,478641,CCMCT,mitotic figure,42915,18280
73,478642,CCMCT,mitotic figure,45219,19560
74,478643,CCMCT,mitotic figure,47162,19075
75,478644,CCMCT,mitotic figure,47532,19541
76,478645,CCMCT,mitotic figure,54548,19424
77,478646,CCMCT,mitotic figure,55175,18750
78,478647,CCMCT,mitotic figure,56258,18506
79,478648,CCMCT,mitotic figure,56873,19583
80,478649,CCMCT,mitotic figure,58277,19685
81,478650,CCMCT,mitotic figure,65415,17807
82,478651,CCMCT,mitotic figure,67231,17559
83,478652,CCMCT,mitotic figure,76536,17485
84,478653,CCMCT,mitotic figure,78799,18002
85,478654,CCMCT,mitotic figure,79219,18005
86,478655,CCMCT,mitotic figure,80171,17642
87,478656,CCMCT,mitotic figure,82958,16842
88,478657,CCMCT,mitotic figure,83849,17498
89,478658,CCMCT,mitotic figure,83475,17363
90,478659,CCMCT,mitotic figure,80515,18712
91,478660,CCMCT,mitotic figure,77909,19855
92,478661,CCMCT,mitotic figure,76511,20153
93,478662,CCMCT,mitotic figure,75681,19200
94,478663,CCMCT,mitotic figure,74275,20252
95,478664,CCMCT,mitotic figure,73266,20060
96,478665,CCMCT,mitotic figure,72539,20205
97,478666,CCMCT,mitotic figure,68391,20728
98,478667,CCMCT,mitotic figure,67428,19965
99,478668,CCMCT,mitotic figure,63004,18801
100,478669,CCMCT,mitotic figure,59657,19436
101,478670,CCMCT,mitotic figure,57950,20323
102,478671,CCMCT,mitotic figure,55278,21450
103,478672,CCMCT,mitotic figure,54782,21319
104,478673,CCMCT,mitotic figure,53229,21813
105,478674,CCMCT,mitotic figure,51730,22163
106,478675,CCMCT,mitotic figure,46549,21063
107,478676,CCMCT,mitotic figure,44614,21823
108,478677,CCMCT,mitotic figure,41795,21028
109,478678,CCMCT,mitotic figure,41787,21813
110,478679,CCMCT,mitotic figure,40243,22714
111,478680,CCMCT,mitotic figure,39583,23141
112,478681,CCMCT,mitotic figure,38631,22830
113,478682,CCMCT,mitotic figure,35664,22609
114,478683,CCMCT,mitotic figure,35614,21735
115,478684,CCMCT,mitotic figure,35901,22873
116,478685,CCMCT,mitotic figure,34495,22317
117,478686,CCMCT,mitotic figure,33921,22367
118,478687,CCMCT,mitotic figure,32612,22570
119,478688,CCMCT,mitotic figure,31731,22481
120,478689,CCMCT,mitotic figure,32035,22827
121,478690,CCMCT,mitotic figure,29135,22606
122,478691,CCMCT,mitotic figure,29872,23102
123,478692,CCMCT,mitotic figure,30026,22090
124,478693,CCMCT,mitotic figure,30058,22050
125,478694,CCMCT,mitotic figure,29446,22881
126,478695,CCMCT,mitotic figure,35413,24114
127,478696,CCMCT,mitotic figure,35617,23747
128,478697,CCMCT,mitotic figure,35784,24398
129,478698,CCMCT,mitotic figure,37271,25228
130,478699,CCMCT,mitotic figure,38060,25214
131,478700,CCMCT,mitotic figure,42754,24724
132,478701,CCMCT,mitotic figure,42837,24756
133,478702,CCMCT,mitotic figure,41466,24844
134,478703,CCMCT,mitotic figure,45574,25496
135,478704,CCMCT,mitotic figure,48665,24636
136,478705,CCMCT,mitotic figure,53547,25233
137,478706,CCMCT,mitotic figure,54533,24236
138,478707,CCMCT,mitotic figure,54396,25526
139,478708,CCMCT,mitotic figure,52927,25035
140,478709,CCMCT,mitotic figure,56370,24692
141,478710,CCMCT,mitotic figure,56135,25399
142,478711,CCMCT,mitotic figure,55428,25296
143,478712,CCMCT,mitotic figure,54970,24584
144,478713,CCMCT,mitotic figure,58529,24815
145,478714,CCMCT,mitotic figure,61305,24828
146,478715,CCMCT,mitotic figure,62259,25969
147,478716,CCMCT,mitotic figure,62808,24985
148,478717,CCMCT,tumor cell,65157,24997
149,478718,CCMCT,mitotic figure,65271,24533
150,478719,CCMCT,mitotic figure,68081,25859
151,478720,CCMCT,mitotic figure,67559,25683
152,478721,CCMCT,mitotic figure,68448,24679
153,478722,CCMCT,mitotic figure,69275,26025
154,478723,CCMCT,mitotic figure,70747,26038
155,478724,CCMCT,mitotic figure,71779,26037
156,478725,CCMCT,mitotic figure,74069,26128
157,478726,CCMCT,mitotic figure,74498,25396
158,478727,CCMCT,mitotic figure,77217,24653
159,478728,CCMCT,mitotic figure,79314,25129
160,478729,CCMCT,mitotic figure,80241,24848
161,478730,CCMCT,mitotic figure,79924,25585
162,478731,CCMCT,mitotic figure,86654,24950
163,478732,CCMCT,mitotic figure,83423,24035
164,478733,CCMCT,tumor cell,82178,23378
165,478734,CCMCT,mitotic figure,80001,22781
166,478735,CCMCT,mitotic figure,78891,23235
167,478736,CCMCT,mitotic figure,78680,23799
168,478737,CCMCT,mitotic figure,79763,23894
169,478738,CCMCT,mitotic figure,74530,23371
170,478739,CCMCT,mitotic figure,75998,23324
171,478740,CCMCT,mitotic figure,73865,22383
172,478741,CCMCT,mitotic figure,73907,22423
173,478742,CCMCT,mitotic figure,71935,22351
174,478743,CCMCT,mitotic figure,69649,22746
175,478744,CCMCT,mitotic figure,69965,22691
176,478745,CCMCT,mitotic figure,68652,23155
177,478746,CCMCT,mitotic figure,69591,23421
178,478747,CCMCT,mitotic figure,66175,23238
179,478748,CCMCT,mitotic figure,67923,23208
180,478749,CCMCT,mitotic figure,57118,22855
181,478750,CCMCT,mitotic figure,55742,23049
182,478751,CCMCT,mitotic figure,53747,23818
183,478752,CCMCT,mitotic figure,51583,23231
184,478753,CCMCT,mitotic figure,82659,20290
185,478754,CCMCT,mitotic figure,82370,20670
186,478755,CCMCT,mitotic figure,79609,20254
187,478756,CCMCT,mitotic figure,79727,21067
188,478757,CCMCT,mitotic figure,77924,19969
189,478758,CCMCT,mitotic figure,73551,21551
190,478759,CCMCT,mitotic figure,72897,21416
191,478760,CCMCT,mitotic figure,73347,21926
192,478761,CCMCT,mitotic figure,72211,21044
193,478762,CCMCT,mitotic figure,24405,25639
194,478763,CCMCT,mitotic figure,28017,26782
195,478764,CCMCT,mitotic figure,37703,27540
196,478765,CCMCT,mitotic figure,36627,27789
197,478766,CCMCT,mitotic figure,38423,27954
198,478767,CCMCT,mitotic figure,38367,27967
199,478768,CCMCT,mitotic figure,38827,27614
200,478769,CCMCT,mitotic figure,38932,27771
201,478770,CCMCT,mitotic figure,39701,27504
202,478771,CCMCT,tumor cell,42241,27523
203,478772,CCMCT,mitotic figure,41972,27823
204,478773,CCMCT,other/ambiguous cells,41795,27943
205,478774,CCMCT,mitotic figure,43752,26786
206,478775,CCMCT,mitotic figure,45401,27345
207,478776,CCMCT,mitotic figure,46686,27324
208,478777,CCMCT,mitotic figure,51710,27563
209,478778,CCMCT,mitotic figure,50608,27814
210,478779,CCMCT,mitotic figure,50862,28093
211,478780,CCMCT,mitotic figure,52909,27854
212,478781,CCMCT,mitotic figure,56125,27637
213,478782,CCMCT,mitotic figure,56982,27689
214,478783,CCMCT,mitotic figure,58319,27244
215,478784,CCMCT,mitotic figure,61137,28189
216,478785,CCMCT,mitotic figure,61414,27815
217,478786,CCMCT,mitotic figure,61597,27018
218,478787,CCMCT,mitotic figure,61824,28086
219,478788,CCMCT,mitotic figure,64930,27870
220,478789,CCMCT,mitotic figure,64999,27009
221,478790,CCMCT,mitotic figure,66091,27343
222,478791,CCMCT,mitotic figure,67058,26611
223,478792,CCMCT,mitotic figure,68112,26710
224,478793,CCMCT,mitotic figure,69832,27330
225,478794,CCMCT,mitotic figure,70720,26526
226,478795,CCMCT,mitotic figure,72030,26616
227,478796,CCMCT,mitotic figure,72096,26560
228,478797,CCMCT,mitotic figure,72309,27026
229,478798,CCMCT,mitotic figure,72394,27191
230,478799,CCMCT,mitotic figure,72546,26426
231,478800,CCMCT,mitotic figure,74458,27586
232,478801,CCMCT,mitotic figure,74684,27574
233,478802,CCMCT,Mitotic figure lookalike,74281,28469
234,478803,CCMCT,mitotic figure,74099,28422
235,478804,CCMCT,mitotic figure,75159,26839
236,478805,CCMCT,mitotic figure,76595,27201
237,478806,CCMCT,mitotic figure,77666,26217
238,478807,CCMCT,mitotic figure,77934,27445
239,478808,CCMCT,mitotic figure,78893,26561
240,478809,CCMCT,mitotic figure,81129,27270
241,478810,CCMCT,mitotic figure,80990,27333
242,478811,CCMCT,mitotic figure,81823,26307
243,478812,CCMCT,mitotic figure,84758,26399
244,478813,CCMCT,mitotic figure,85565,25126
245,478814,CCMCT,mitotic figure,89227,26866
246,478815,CCMCT,mitotic figure,88887,28002
247,478816,CCMCT,mitotic figure,88177,27781
248,478817,CCMCT,mitotic figure,90542,27517
249,478818,CCMCT,mitotic figure,89205,28503
250,478819,CCMCT,mitotic figure,88857,28450
251,478820,CCMCT,mitotic figure,88929,28377
252,478821,CCMCT,mitotic figure,90936,28885
253,478822,CCMCT,tumor cell,90924,28936
254,478823,CCMCT,mitotic figure,88517,28814
255,478824,CCMCT,mitotic figure,87146,28678
256,478825,CCMCT,mitotic figure,84456,29302
257,478826,CCMCT,mitotic figure,82687,28646
258,478827,CCMCT,mitotic figure,82949,28730
259,478828,CCMCT,mitotic figure,81547,28654
260,478829,CCMCT,mitotic figure,78193,29114
261,478830,CCMCT,mitotic figure,78201,29046
262,478831,CCMCT,mitotic figure,77758,29326
263,478832,CCMCT,mitotic figure,25288,28447
264,478833,CCMCT,mitotic figure,26251,28893
265,478834,CCMCT,mitotic figure,24889,29528
266,478835,CCMCT,mitotic figure,26276,28575
267,478836,CCMCT,mitotic figure,27122,28446
268,478837,CCMCT,mitotic figure,26628,29806
269,478838,CCMCT,mitotic figure,26753,29764
270,478839,CCMCT,mitotic figure,25514,29255
271,478840,CCMCT,mitotic figure,28724,28868
272,478841,CCMCT,mitotic figure,28633,28866
273,478842,CCMCT,mitotic figure,28609,29409
274,478843,CCMCT,mitotic figure,29998,28511
275,478844,CCMCT,mitotic figure,32792,29310
276,478845,CCMCT,Mitotic figure lookalike,32822,29438
277,478846,CCMCT,mitotic figure,33348,29077
278,478847,CCMCT,mitotic figure,32429,28913
279,478848,CCMCT,mitotic figure,35551,27975
280,478849,CCMCT,mitotic figure,36991,29352
281,478850,CCMCT,mitotic figure,40183,28477
282,478851,CCMCT,mitotic figure,40407,29292
283,478852,CCMCT,mitotic figure,40299,29138
284,478853,CCMCT,mitotic figure,41693,29056
285,478854,CCMCT,mitotic figure,42145,29098
286,478855,CCMCT,mitotic figure,43851,28817
287,478856,CCMCT,mitotic figure,44362,28676
288,478857,CCMCT,mitotic figure,44946,29622
289,478858,CCMCT,mitotic figure,51372,30468
290,478859,CCMCT,mitotic figure,52051,30385
291,478860,CCMCT,mitotic figure,52176,30317
292,478861,CCMCT,mitotic figure,51944,30387
293,478862,CCMCT,mitotic figure,53743,29766
294,478863,CCMCT,mitotic figure,53222,30469
295,478864,CCMCT,mitotic figure,54461,30090
296,478865,CCMCT,mitotic figure,55829,29641
297,478866,CCMCT,mitotic figure,55969,31074
298,478867,CCMCT,mitotic figure,59111,29560
299,478868,CCMCT,mitotic figure,58352,29374
300,478869,CCMCT,mitotic figure,60175,29718
301,478870,CCMCT,mitotic figure,60793,30186
302,478871,CCMCT,mitotic figure,63510,29829
303,478872,CCMCT,mitotic figure,63162,30875
304,478873,CCMCT,mitotic figure,64555,30054
305,478874,CCMCT,mitotic figure,66923,29457
306,478875,CCMCT,mitotic figure,67960,29319
307,478876,CCMCT,mitotic figure,70660,30415
308,478877,CCMCT,mitotic figure,71180,31100
309,478878,CCMCT,mitotic figure,73313,30577
310,478879,CCMCT,mitotic figure,78706,31239
311,478880,CCMCT,mitotic figure,85247,30901
312,478881,CCMCT,mitotic figure,85184,31963
313,478882,CCMCT,mitotic figure,84648,31967
314,478883,CCMCT,mitotic figure,86635,30334
315,478884,CCMCT,mitotic figure,86569,30777
316,478885,CCMCT,mitotic figure,85820,30294
317,478886,CCMCT,mitotic figure,87104,31362
318,478887,CCMCT,mitotic figure,87045,31278
319,478888,CCMCT,mitotic figure,89418,29704
320,478889,CCMCT,mitotic figure,91160,30381
321,478890,CCMCT,mitotic figure,89738,31807
322,478891,CCMCT,mitotic figure,88440,31924
323,478892,CCMCT,mitotic figure,89689,31679
324,478893,CCMCT,mitotic figure,89540,31711
325,478894,CCMCT,mitotic figure,89656,32360
326,478895,CCMCT,mitotic figure,82265,32455
327,478896,CCMCT,mitotic figure,79719,32331
328,478897,CCMCT,mitotic figure,79510,31920
329,478898,CCMCT,mitotic figure,78266,32268
330,478899,CCMCT,mitotic figure,77931,32823
331,478900,CCMCT,mitotic figure,77897,32787
332,478901,CCMCT,mitotic figure,77250,32734
333,478902,CCMCT,mitotic figure,77291,32628
334,478903,CCMCT,mitotic figure,75143,32664
335,478904,CCMCT,mitotic figure,75823,32406
336,478905,CCMCT,mitotic figure,75941,33099
337,478906,CCMCT,mitotic figure,74157,32330
338,478907,CCMCT,mitotic figure,74307,32490
339,478908,CCMCT,mitotic figure,72924,31576
340,478909,CCMCT,mitotic figure,73152,32091
341,478910,CCMCT,mitotic figure,73165,31279
342,478911,CCMCT,mitotic figure,73176,31219
343,478912,CCMCT,mitotic figure,71565,31926
344,478913,CCMCT,mitotic figure,72196,32114
345,478914,CCMCT,mitotic figure,72131,32688
346,478915,CCMCT,mitotic figure,72375,32526
347,478916,CCMCT,mitotic figure,72327,32530
348,478917,CCMCT,mitotic figure,69631,32547
349,478918,CCMCT,mitotic figure,68985,31408
350,478919,CCMCT,mitotic figure,67127,31868
351,478920,CCMCT,mitotic figure,68471,31870
352,478921,CCMCT,mitotic figure,67513,32716
353,478922,CCMCT,mitotic figure,67108,32539
354,478923,CCMCT,mitotic figure,68465,32801
355,478924,CCMCT,mitotic figure,67904,31891
356,478925,CCMCT,mitotic figure,65644,31538
357,478926,CCMCT,mitotic figure,62162,32005
358,478927,CCMCT,mitotic figure,63296,31370
359,478928,CCMCT,mitotic figure,62402,30625
360,478929,CCMCT,mitotic figure,61486,32056
361,478930,CCMCT,mitotic figure,59299,31923
362,478931,CCMCT,mitotic figure,57879,32208
363,478932,CCMCT,mitotic figure,56082,31529
364,478933,CCMCT,mitotic figure,55442,32363
365,478934,CCMCT,mitotic figure,51972,32261
366,478935,CCMCT,mitotic figure,50524,32277
367,478936,CCMCT,mitotic figure,48470,32263
368,478937,CCMCT,mitotic figure,48533,32229
369,478938,CCMCT,mitotic figure,48443,32077
370,478939,CCMCT,mitotic figure,48343,31934
371,478940,CCMCT,mitotic figure,49084,32702
372,478941,CCMCT,mitotic figure,44064,32085
373,478942,CCMCT,mitotic figure,41720,32277
374,478943,CCMCT,mitotic figure,41146,31851
375,478944,CCMCT,mitotic figure,42712,32584
376,478945,CCMCT,mitotic figure,41777,32932
377,478946,CCMCT,mitotic figure,40952,32117
378,478947,CCMCT,mitotic figure,36378,32095
379,478948,CCMCT,mitotic figure,34978,32257
380,478949,CCMCT,mitotic figure,33747,33033
381,478950,CCMCT,mitotic figure,31276,31655
382,478951,CCMCT,mitotic figure,26594,30699
383,478952,CCMCT,mitotic figure,25623,30277
384,478953,CCMCT,mitotic figure,25591,30929
385,478954,CCMCT,mitotic figure,23169,32040
386,478955,CCMCT,mitotic figure,23846,32796
387,478956,CCMCT,mitotic figure,21383,33539
388,478957,CCMCT,mitotic figure,21535,34115
389,478958,CCMCT,other/ambiguous cells,22872,33406
390,478959,CCMCT,other/ambiguous cells,24265,34014
391,478960,CCMCT,mitotic figure,24058,33404
392,478961,CCMCT,mitotic figure,23708,33066
393,478962,CCMCT,mitotic figure,25911,34125
394,478963,CCMCT,mitotic figure,28905,33942
395,478964,CCMCT,mitotic figure,29963,34715
396,478965,CCMCT,Mitotic figure lookalike,32692,34269
397,478966,CCMCT,mitotic figure,31867,34866
398,478967,CCMCT,mitotic figure,32046,34830
399,478968,CCMCT,mitotic figure,34490,33718
400,478969,CCMCT,mitotic figure,35017,33761
401,478970,CCMCT,mitotic figure,35166,34589
402,478971,CCMCT,mitotic figure,39083,34196
403,478972,CCMCT,mitotic figure,38817,33708
404,478973,CCMCT,mitotic figure,40715,32856
405,478974,CCMCT,mitotic figure,41980,33365
406,478975,CCMCT,mitotic figure,44040,33696
407,478976,CCMCT,mitotic figure,44310,32838
408,478977,CCMCT,mitotic figure,50329,34117
409,478978,CCMCT,mitotic figure,49986,32931
410,478979,CCMCT,mitotic figure,53443,33126
411,478980,CCMCT,mitotic figure,53692,32769
412,478981,CCMCT,mitotic figure,54232,32805
413,478982,CCMCT,mitotic figure,56860,33018
414,478983,CCMCT,mitotic figure,57685,32385
415,478984,CCMCT,other/ambiguous cells,57339,32913
416,478985,CCMCT,mitotic figure,61177,33988
417,478986,CCMCT,mitotic figure,60759,32789
418,478987,CCMCT,mitotic figure,60221,32118
419,478988,CCMCT,mitotic figure,62947,32159
420,478989,CCMCT,tumor cell,66280,33863
421,478990,CCMCT,mitotic figure,65320,33892
422,478991,CCMCT,mitotic figure,67200,34226
423,478992,CCMCT,mitotic figure,68608,33180
424,478993,CCMCT,mitotic figure,69086,34034
425,478994,CCMCT,mitotic figure,69208,34119
426,478995,CCMCT,mitotic figure,70103,34435
427,478996,CCMCT,mitotic figure,72324,34032
428,478997,CCMCT,mitotic figure,71156,33994
429,478998,CCMCT,mitotic figure,73927,33546
430,478999,CCMCT,mitotic figure,74356,33530
431,479000,CCMCT,mitotic figure,73706,34439
432,479001,CCMCT,tumor cell,74107,33266
433,479002,CCMCT,mitotic figure,73904,33373
434,479003,CCMCT,mitotic figure,75292,33247
435,479004,CCMCT,mitotic figure,75300,33460
436,479005,CCMCT,mitotic figure,75657,33637
437,479006,CCMCT,mitotic figure,76941,33684
438,479007,CCMCT,mitotic figure,75936,34220
439,479008,CCMCT,other/ambiguous cells,76003,34522
440,479009,CCMCT,mitotic figure,75879,34475
441,479010,CCMCT,mitotic figure,75537,34311
442,479011,CCMCT,mitotic figure,78075,34262
443,479012,CCMCT,mitotic figure,78024,34173
444,479013,CCMCT,mitotic figure,77473,34399
445,479014,CCMCT,mitotic figure,77608,34450
446,479015,CCMCT,mitotic figure,77538,34570
447,479016,CCMCT,mitotic figure,78877,33650
448,479017,CCMCT,mitotic figure,78855,33721
449,479018,CCMCT,mitotic figure,79920,33652
450,479019,CCMCT,mitotic figure,79668,33933
451,479020,CCMCT,mitotic figure,79199,34547
452,479021,CCMCT,mitotic figure,79786,34701
453,479022,CCMCT,mitotic figure,80331,34796
454,479023,CCMCT,mitotic figure,78116,35064
455,479024,CCMCT,mitotic figure,78266,34990
456,479025,CCMCT,mitotic figure,78602,34513
457,479026,CCMCT,mitotic figure,81165,33115
458,479027,CCMCT,mitotic figure,81353,33417
459,479028,CCMCT,mitotic figure,80927,33746
460,479029,CCMCT,mitotic figure,82082,33531
461,479030,CCMCT,Mitotic figure lookalike,81282,34350
462,479031,CCMCT,mitotic figure,82664,34540
463,479032,CCMCT,mitotic figure,82151,34485
464,479033,CCMCT,mitotic figure,83033,33642
465,479034,CCMCT,mitotic figure,83525,34649
466,479035,CCMCT,mitotic figure,82894,34680
467,479036,CCMCT,mitotic figure,83255,34174
468,479037,CCMCT,mitotic figure,83100,33250
469,479038,CCMCT,mitotic figure,84071,33280
470,479039,CCMCT,mitotic figure,83978,33343
471,479040,CCMCT,mitotic figure,85370,32707
472,479041,CCMCT,mitotic figure,85524,32509
473,479042,CCMCT,mitotic figure,84696,32857
474,479043,CCMCT,mitotic figure,85465,34057
475,479044,CCMCT,mitotic figure,85509,33244
476,479045,CCMCT,mitotic figure,88389,33974
477,479046,CCMCT,mitotic figure,88330,33924
478,479047,CCMCT,mitotic figure,86816,34073
479,479048,CCMCT,mitotic figure,89861,33575
480,479049,CCMCT,mitotic figure,89451,33719
481,479050,CCMCT,mitotic figure,90233,32999
482,479051,CCMCT,mitotic figure,89973,33003
483,479052,CCMCT,mitotic figure,91396,33198
484,479053,CCMCT,mitotic figure,92141,33691
485,479054,CCMCT,mitotic figure,90773,34211
486,479055,CCMCT,mitotic figure,91024,34500
487,479056,CCMCT,mitotic figure,91145,34458
488,479057,CCMCT,mitotic figure,91749,33926
489,479058,CCMCT,mitotic figure,91994,33867
490,479059,CCMCT,mitotic figure,89995,34504
491,479060,CCMCT,mitotic figure,89625,34849
492,479061,CCMCT,mitotic figure,89201,35087
493,479062,CCMCT,mitotic figure,89178,34876
494,479063,CCMCT,mitotic figure,89760,35905
495,479064,CCMCT,mitotic figure,86047,34906
496,479065,CCMCT,mitotic figure,86254,35138
497,479066,CCMCT,mitotic figure,87037,35224
498,479067,CCMCT,mitotic figure,84432,35303
499,479068,CCMCT,mitotic figure,80836,35249
500,479069,CCMCT,mitotic figure,80454,35944
501,479070,CCMCT,mitotic figure,78927,35726
502,479071,CCMCT,mitotic figure,77511,35441
503,479072,CCMCT,mitotic figure,76856,35862
504,479073,CCMCT,mitotic figure,78330,35207
505,479074,CCMCT,mitotic figure,76207,36409
506,479075,CCMCT,mitotic figure,75029,35607
507,479076,CCMCT,mitotic figure,74567,36367
508,479077,CCMCT,Mitotic figure lookalike,74622,36424
509,479078,CCMCT,mitotic figure,75025,36485
510,479079,CCMCT,mitotic figure,75257,36650
511,479080,CCMCT,mitotic figure,72869,36364
512,479081,CCMCT,mitotic figure,73266,36684
513,479082,CCMCT,mitotic figure,72289,36737
514,479083,CCMCT,tumor cell,72035,36402
515,479084,CCMCT,mitotic figure,72867,36123
516,479085,CCMCT,mitotic figure,71063,36107
517,479086,CCMCT,mitotic figure,70744,36788
518,479087,CCMCT,mitotic figure,69563,36488
519,479088,CCMCT,mitotic figure,68806,36790
520,479089,CCMCT,mitotic figure,67371,36780
521,479090,CCMCT,mitotic figure,67044,36357
522,479091,CCMCT,mitotic figure,63915,34412
523,479092,CCMCT,mitotic figure,62496,35240
524,479093,CCMCT,mitotic figure,59249,34942
525,479094,CCMCT,mitotic figure,60488,34869
526,479095,CCMCT,mitotic figure,62006,34240
527,479096,CCMCT,mitotic figure,59297,34859
528,479097,CCMCT,mitotic figure,58188,36090
529,479098,CCMCT,mitotic figure,53371,35808
530,479099,CCMCT,mitotic figure,49573,35495
531,479100,CCMCT,mitotic figure,49805,36462
532,479101,CCMCT,mitotic figure,51496,35957
533,479102,CCMCT,mitotic figure,50177,36731
534,479103,CCMCT,tumor cell,47492,35566
535,479104,CCMCT,mitotic figure,46778,36619
536,479105,CCMCT,mitotic figure,45242,35808
537,479106,CCMCT,mitotic figure,42983,35198
538,479107,CCMCT,mitotic figure,43331,34782
539,479108,CCMCT,mitotic figure,39476,35062
540,479109,CCMCT,other/ambiguous cells,35066,34225
541,479110,CCMCT,mitotic figure,33368,34827
542,479111,CCMCT,mitotic figure,33281,34774
543,479112,CCMCT,mitotic figure,32829,36189
544,479113,CCMCT,mitotic figure,31404,35211
545,479114,CCMCT,mitotic figure,31347,35384
546,479115,CCMCT,mitotic figure,31858,36307
547,479116,CCMCT,granulocyte,19362,35680
548,479117,CCMCT,mitotic figure,17571,36411
549,479118,CCMCT,mitotic figure,20555,37376
550,479119,CCMCT,mitotic figure,36433,36508
551,479120,CCMCT,mitotic figure,36787,36327
552,479121,CCMCT,mitotic figure,50185,37590
553,479122,CCMCT,mitotic figure,51184,37113
554,479123,CCMCT,mitotic figure,55531,37832
555,479124,CCMCT,mitotic figure,56999,37202
556,479125,CCMCT,mitotic figure,55486,38097
557,479126,CCMCT,mitotic figure,57522,37222
558,479127,CCMCT,mitotic figure,63922,38439
559,479128,CCMCT,tumor cell,68430,38013
560,479129,CCMCT,mitotic figure,69946,39023
561,479130,CCMCT,mitotic figure,70102,38947
562,479131,CCMCT,mitotic figure,69183,39014
563,479132,CCMCT,mitotic figure,70632,38563
564,479133,CCMCT,mitotic figure,70851,39940
565,479134,CCMCT,mitotic figure,72710,38959
566,479135,CCMCT,mitotic figure,73279,39037
567,479136,CCMCT,mitotic figure,74216,38422
568,479137,CCMCT,Mitotic figure lookalike,73723,39697
569,479138,CCMCT,mitotic figure,76584,38621
570,479139,CCMCT,tumor cell,76695,38928
571,479140,CCMCT,mitotic figure,77225,39291
572,479141,CCMCT,mitotic figure,77000,39642
573,479142,CCMCT,mitotic figure,77348,39817
574,479143,CCMCT,mitotic figure,77620,39682
575,479144,CCMCT,mitotic figure,78302,38461
576,479145,CCMCT,mitotic figure,78462,38126
577,479146,CCMCT,mitotic figure,78699,38208
578,479147,CCMCT,mitotic figure,78802,38274
